H [A/m] - Hystereschleife	
	B [T] - Hystereschleife
	H [A/m] - Neukurve
	B [T] - Neukurve
	
39,0115	0,0953562
38,7777	0,0952931
38,5906	0,095229
38,4502	0,0951636
38,3567	0,0950971
38,1228	0,0950299
37,8889	0,0949615
37,7486	0,0948917
37,6083	0,0948211
37,3276	0,0947498
37,234	0,0946776
37,0469	0,094604
36,8598	0,0945292
36,6727	0,0944538
36,5792	0,0943774
36,3453	0,0942995
36,205	0,0942207
35,9711	0,0941413
35,9243	0,0940611
35,6904	0,0939794
35,5033	0,0938966
35,3162	0,093813
35,2227	0,0937285
35,0355	0,0936427
34,8484	0,0935556
34,7549	0,0934678
34,4742	0,0933788
34,3339	0,0932884
34,1936	0,0931971
33,8661	0,0931054
33,7726	0,0930128
33,5855	0,0929187
33,3048	0,0928234
33,0709	0,0927271
32,9774	0,0926295
32,8838	0,0925308
32,5564	0,0924312
32,4628	0,0923312
32,2757	0,0922302
31,9951	0,0921276
31,808	0,092024
31,7144	0,0919196
31,6209	0,0918141
31,387	0,0917074
31,0595	0,0915998
30,966	0,0914916
30,8257	0,0913822
30,4515	0,0912711
30,2644	0,0911592
30,1708	0,0910466
29,9837	0,0909329
29,6563	0,0908178
29,5627	0,0907019
29,3756	0,0905855
29,1417	0,0904683
29,0014	0,0903498
28,8143	0,0902301
28,5804	0,0901097
28,3933	0,0899883
28,253	0,0898657
28,0659	0,0897421
27,832	0,0896177
27,5981	0,0894923
27,411	0,0893655
27,2239	0,0892376
26,9432	0,0891092
26,7561	0,0889799
26,5222	0,0888494
26,3351	0,0887176
26,1012	0,088585
26,0077	0,0884513
25,7738	0,0883165
25,4932	0,0881805
25,3528	0,0880438
25,1657	0,0879064
24,9786	0,0877678
24,698	0,087628
24,5576	0,0874873
24,277	0,0873456
24,0431	0,0872027
23,9495	0,0870587
23,7157	0,086914
23,4818	0,086769
23,2947	0,0866236
23,014	0,0864769
22,8269	0,0863287
22,6398	0,0861798
22,4995	0,0860302
22,3124	0,0858791
22,0317	0,0857269
21,8446	0,0855741
21,6107	0,0854207
21,3301	0,0852664
21,1897	0,0851106
21,0962	0,0849537
20,7687	0,0847964
20,4881	0,0846384
20,3945	0,084479
20,2542	0,0843185
19,9268	0,0841573
19,6461	0,0839952
19,5993	0,083832
19,2719	0,0836675
18,9912	0,0835021
18,8977	0,083336
18,7573	0,0831688
18,3831	0,0830003
18,2428	0,0828311
18,1493	0,0826613
17,8218	0,0824907
17,4944	0,0823188
17,4008	0,0821457
17,0734	0,0819722
16,8395	0,0817981
16,6992	0,0816228
16,5589	0,0814464
16,325	0,0812691
16,0911	0,0810914
15,904	0,0809129
15,7169	0,080733
15,4362	0,0805519
15,1556	0,0803702
15,1556	0,0801881
14,8749	0,0800051
14,5475	0,0798207
14,4071	0,0796353
14,3136	0,0794495
13,8926	0,0792632
13,7523	0,0790759
13,5652	0,0788873
13,2845	0,0786977
13,0506	0,0785077
12,8635	0,078317
12,7232	0,0781251
12,349	0,0779317
12,2554	0,0777377
12,1151	0,0775432
11,7877	0,0773477
11,6006	0,0771508
11,2731	0,0769531
11,1796	0,0767549
10,8989	0,0765561
10,665	0,0763564
10,5247	0,0761553
10,2908	0,0759535
10,0102	0,0757512
9,86983	0,0755482
9,58917	0,0753442
9,40206	0,0751389
9,1214	0,0749327
8,9343	0,0747263
8,74719	0,0745195
8,51331	0,0743115
8,37298	0,0741022
8,1391	0,0738922
7,81166	0,0736818
7,76489	0,0734709
7,48423	0,0732589
7,20357	0,0730457
7,01646	0,0728315
6,87614	0,072617
6,59548	0,072402
6,31482	0,0721859
6,12771	0,0719687
5,94061	0,0717506
5,7535	0,0715319
5,47284	0,0713125
5,19218	0,0710925
5,09863	0,0708715
4,86475	0,0706496
4,53731	0,070427
4,30343	0,0702039
4,1631	0,06998
3,976	0,069755
3,69534	0,0695289
3,46146	0,0693022
3,32113	0,0690749
3,08724	0,0688468
2,85336	0,0686175
2,66626	0,0683871
2,47915	0,0681562
2,24527	0,067925
2,05816	0,0676934
1,82428	0,0674608
1,5904	0,0672269
1,40329	0,0669923
1,12263	0,0667573
0,888752	0,0665217
0,701646	0,0662854
0,561317	0,0660481
0,327435	0,0658097
0,0467764	0,0655708
-0,0935529	0,0653314
-0,327435	0,0650914
-0,514541	0,0648506
-0,888752	0,0646087
-0,935529	0,0643658
-1,16941	0,0641226
-1,45007	0,063879
-1,5904	0,0636347
